Year,Film,C?,Bathtub,#B,Shower,#S,Other,Bathtub Actress 1,Bathtub Actress 2,Bathtub Actress 3,Bathtub Actress 4,Bathtub Actor 1,Bathtub Actor 2,Shower Actress 1,Shower Actress 2,Shower Actress 3,Shower Actor 1,Shower Actor 2,Shower Actor 3,Other Actress,Other Actor,M/F Bathtub Solo?,Bathtub Together?,Shower Togther?,M/F Shower Solo,Other Together?,Notes,Script,script_id,imdb_id,gross (inflation-adjusted),Notes
2009,The Proposal,,,,,,,,,,,,,,,,,,,,,,,,,,,"film_20100519/all_imsdb_05_19_10/Proposal,-The.html",1250,tt1041829,190,
2009,Invictus,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Invictus Script.html,2632,tt1057500,43,
2009,An Education,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/An Education Script.html,1650,tt1174732,14,
2009,Year One,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Year One Script.html,3758,tt1045778,50,
2009,Moon,,,,Shower,1,,,,,,,,,,,Sam Rockwell,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Moon Script.html,2946,tt1182345,5,
2009,Avatar,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Avatar Script.html,1718,tt0499549,882,
2009,I Love You Phillip Morris,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/I Love You Phillip Morris Script.html,2582,tt1045772,2,
2009,G.I. Joe: The Rise of Cobra,,,,,,,,,,,,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/G.I.-Joe-The-Rise-of-Cobra.html,935,tt1046173,174,
2009,Ninja Assassin,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Ninja Assassin Script.html,3014,tt1186367,44,
2009,Pandorum,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Pandorum Script.html,3055,tt1188729,11,
2009,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/2012 Script.html,1509,tt1190080,192,
2009,Up in the Air,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Up in the Air Script.html,3643,tt1193138,97,
2009,Get Low,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Get Low Script.html,2382,tt1194263,10,
2009,Whiteout,,,,,,,,,,,,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Whiteout.html,1471,tt0365929,11,
2009,Law Abiding Citizen,,,,,,,,,,,,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Law-Abiding-Citizen.html,1091,tt1197624,85,
2009,Observe and Report,,Bathtub,1,,,,Celia Weston,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Observe and Report Script.html,3027,tt1197628,27,
2009,Obsessed,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Obsessed Script.html,3028,tt1198138,79,
2009,Funny People,,,,Shower,1,,,,,,,,,,,Adam Sandler,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Funny People Script.html,2352,tt1201167,60,
2009,Extract,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Extract Script.html,2254,tt1225822,12,
2009,Star Trek,,,,,,,,,,,,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Star-Trek.html,1361,tt0796366,299,
2009,The Damned United,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://www.imsdb.com/Movie Scripts/Damned United, The Script.html",2099,tt1226271,0,
2009,In the Loop,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/In the Loop Script.html,2597,tt1226774,2,
2009,It's Complicated,C,Bathtub,1,,,,Meryl Streep,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/It's Complicated Script.html,2644,tt1230414,131,
2009,S. Darko,,,,,,,,,,,,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/S.-Darko.html,1297,tt1231277,,
2009,The Box,,Bathtub,1,,,,,,,,Sam Oz Stone,,,,,,,,,,,,,,,,"http://www.imsdb.com/Movie Scripts/Box, The Script.html",1909,tt0362478,17,
2009,The Twilight Saga: New Moon,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/scripts/Twilight-New-Moon.html,5164,tt1259571,344,
2010,Date Night,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Date Night Script.html,2112,tt1279935,108,
2010,Easy A,C,,,Shower,1,,,,,,,,Emma Stone,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Easy A Script.html,2202,tt1282140,64,
2010,Blue Valentine,C,,,Shower,1,,,,,,,,Michelle Williams,,,Ryan Gosling,,,,,,,Together,,,,http://www.pages.drexel.edu/~ina22/splaylib/Screenplay-Blue_Valentine.pdf,3947,tt1120985,10,
2010,The Social Network,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://www.imsdb.com/Movie Scripts/Social Network, The Script.html",3381,tt1285016,106,
2010,Burlesque,,Bathtub,1,,,,Christina Aguilera,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Burlesque Script.html,1945,tt1126591,43,
2010,The Book of Eli,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://www.imsdb.com/Movie Scripts/Book of Eli, The Script.html",1886,tt1037705,104,
2010,Last Night,,,,,,,,,,,,,,,,,,,,,,,,,,,http://indiegroundfilms.files.wordpress.com/2014/01/last-night-sep-12-08.pdf,8961,tt1294688,,
2010,The Back-up Plan,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://www.imsdb.com/Movie Scripts/Back-up Plan, The Script.html",1734,tt1212436,41,
2010,Death at a Funeral,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Death at a Funeral Script.html,2130,tt1321509,47,
2010,Inception,C,Bathtub,1,,,,,,,,Leonardo DiCaprio,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Inception Script.html,2598,tt1375666,323,
2010,Winter's Bone,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.pages.drexel.edu/~ina22/splaylib/Screenplay-Winters_Bone.pdf,5238,tt1399683,7,
2010,She's Out of My League,,,,Shower,1,,,,,,,,,,,Jay Baruchel,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/She's-Out-of-My-League.html,1320,tt0815236,34,
2010,The Whistleblower,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://www.imsdb.com/Movie Scripts/Whistleblower, The Script.html",3701,tt0896872,1,
2010,Rabbit Hole,,,,Shower,1,,,,,,,,,,,Giancarlo Esposito,,,,,,,,,,,http://moviecultists.com/wp-content/uploads/screenplays/rabbit-hole.pdf,4844,tt0935075,2,
2010,The Losers,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://www.imsdb.com/Movie Scripts/Losers, The Script.html",2805,tt0480255,25,
2010,The Way Back,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://www.imsdb.com/Movie Scripts/Way Back, The Script.html",3690,tt1023114,2,
2010,Remember Me,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Remember Me Script.html,3194,tt1403981,21,
2010,Salt,,,,,,,,,,,,,,,,,,,,,,,,,,,https://wikileaks.org/sony/docs/03_03/Mktrsch/Market%20Research/Scripts/Released/Salt%20up%20to%204th%20yellow.pdf,6058,tt0944835,130,
2010,The Debt,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://www.imsdb.com/Movie Scripts/Debt, The Script.html",2133,tt1226753,34,
2010,Jacuzzi Time Machine,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Jacuzzi Time Machine Script.html,2558,tt1231587,55,
2010,The Bounty Hunter,,,,,,,,,,,,,,,,,,,,,,,,,,,"film_20100519/all_imsdb_05_19_10/Bounty-Hunter,-The.html",768,tt1038919,73,
2010,I Spit on Your Grave,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/I Spit on Your Grave Script.html,2584,tt1242432,,
2010,The Next Three Days,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://www.imsdb.com/Movie Scripts/Next Three Days, The Script.html",2997,tt1458175,23,
2010,Scott Pilgrim vs. the World,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Scott Pilgrim vs the World Script.html,3280,tt0446029,34,
2010,The Runaways,,Bathtub,1,Shower,1,,Kristen Stewart,,,,,,Dakota Fanning,,,,,,,,,,,,,,http://indiegroundfilms.files.wordpress.com/2014/01/runaways-the-jul-25-08.pdf,9104,tt1017451,3,
2010,Henry's Crime,,Bathtub,1,,,,,,,,James Caan,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Henry's Crime Script.html,2534,tt1220888,,
2010,Tamara Drewe,,Bathtub,1,,,,Gemma Arterton,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Tamara Drewe Script.html,3503,tt1486190,0,
2010,Buried,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Buried Script.html,1943,tt1462758,1,
2010,The King's Speech,,Bathtub,1,,,,,,,,Colin Firth,,,,,,,,,,,,,,,,"http://www.imsdb.com/Movie Scripts/King's Speech, The Script.html",2708,tt1504320,153,
2010,The Fighter,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://www.imsdb.com/Movie Scripts/Fighter, The Script.html",2289,tt0964517,103,
2010,Black Swan,C,Bathtub,1,,,,Natalie Portman,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Black Swan Script.html,1841,tt0947798,117,
2010,Insidious,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Insidious Script.html,2618,tt1591095,59,
2010,Legion,,,,,,,,,,,,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Legion.html,1094,tt1038686,44,
2010,Beginners,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Beginners Script.html,1796,tt1532503,6,
2010,127 Hours,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/127 Hours Script.html,1520,tt1542344,20,
2011,Water for Elephants,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Water for Elephants Script.html,3689,tt1067583,64,
2011,Monte Carlo,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Monte Carlo Script.html,2945,tt1067774,25,
2011,The Girl with the Dragon Tattoo,C,Bathtub,1,,,,Rooney Mara,,,,,,,,,,,,,,,,,,,,The Girl With the Dragon Tattoo Screenplay.pdf,6571,tt1568346,113,
2011,The Adjustment Bureau,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://www.imsdb.com/Movie Scripts/Adjustment Bureau, The Script.html",1556,tt1385826,68,
2011,Hanna,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Hanna Script.html,2470,tt0993842,44,
2011,Jane Eyre,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Jane Eyre Script.html,2660,tt1229822,12,
2011,Coriolanus,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Coriolanus Script.html,2059,tt1372686,0,
2011,Bad Teacher,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Bad Teacher Script.html,1746,tt1284575,109,
2011,Warrior,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Warrior Script.html,3686,tt1291584,15,
2011,The Roommate,,,,Shower,2,,,,,,,,Aly Michalka,Leighton Meester,,,,,,,,,,F;F,,,"http://www.imsdb.com/Movie Scripts/Roommate, The Script.html",3237,tt1265990,40,
2011,Moneyball,,,,,,,,,,,,,,,,,,,,,,,,,,,http://indiegroundfilms.files.wordpress.com/2014/01/moneyball.pdf,9015,tt1210166,82,
2011,Source Code,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Source Code Script.html,3394,tt0945513,60,
2011,The Descendants,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://www.imsdb.com/Movie Scripts/Descendants, The Script.html",2146,tt1033575,90,
2011,The Iron Lady,,,,,,,,,,,,,,,,,,,,,,,,,,,http://cbsla.files.wordpress.com/2012/01/the-iron-lady.pdf,2634,tt1007029,32,
2011,Straw Dogs,,Bathtub,2,,,,Kate Bosworth,,,,,,,,,,,,,,,,,,,,http://indiegroundfilms.files.wordpress.com/2014/01/straw-dogs-nov-4-08-5th-final.pdf,9156,tt0999913,11,
2011,Paul,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Paul Script.html,3069,tt1092026,41,
2011,Rise of the Planet of the Apes,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Rise of the Planet of the Apes Script.html,3213,tt1318514,194,
2011,Tinker Tailor Soldier Spy,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Tinker Tailor Soldier Spy Script.html,3563,tt1340800,26,
2011,Limitless,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Limitless Script.html,2775,tt1219289,86,
2011,War Horse,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/War Horse Script.html,3680,tt1568911,87,
2011,"Crazy, Stupid, Love.",,,,,,,,,,,,,,,,,,,,,,,,,,,"http://www.imsdb.com/Movie Scripts/Crazy, Stupid, Love Script.html",2073,tt1570728,92,
2011,The Mechanic,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://www.imsdb.com/Movie Scripts/Mechanic, The Script.html",2880,tt0472399,31,
2011,The Tree of Life,,,,,,,,,,,,,,,,,,,,,,,,,,,http://indiegroundfilms.files.wordpress.com/2014/01/tree-of-life-the-jun-25-07-1st.pdf,9195,tt0478304,14,
2011,Thor,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Thor Script.html,3538,tt0800369,198,
2011,Priest,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Priest Script.html,3135,tt0822847,31,
2011,Martha Marcy May Marlene,,,,Shower,1,,,,,,,,Sarah Paulson,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Martha Marcy May Marlene Script.html,2858,tt1441326,3,
2011,Anonymous,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Anonymous Script.html,1667,tt1521197,4,
2011,No Strings Attached,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/No Strings Attached Script.html,3019,tt1411238,77,
2011,Pariah,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Pariah Script.html,3062,tt1233334,0,
2011,Fright Night,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Fright Night (1985) Script.html,2337,tt1438176,20,
2011,I Am Number Four,,,,Shower,1,,,,,,,,,,,Alex Pettyfer,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/I Am Number Four Script.html,2579,tt1464540,60,
2011,The Best Exotic Marigold Hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://www.imsdb.com/Movie Scripts/Best Exotic Marigold Hotel, The Script.html",1810,tt1412386,50,
2011,The Lincoln Lawyer,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://www.imsdb.com/Movie Scripts/Lincoln Lawyer, The Script.html",2779,tt1189340,63,
2011,The Help,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://www.imsdb.com/Movie Scripts/Help, The Script.html",2530,tt1454029,186,
2011,Drive,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Drive Script.html,2184,tt0780504,38,
2011,Cedar Rapids,,,,Shower,1,,,,,,,,,,,Ed Helms,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Cedar Rapids Script.html,1974,tt1477837,7,
2011,The Change-Up,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://www.imsdb.com/Movie Scripts/Change-Up, The Script.html",1981,tt1488555,40,
2011,Larry Crowne,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Larry Crowne Script.html,2733,tt1583420,39,
2011,Horrible Bosses,,Bathtub,1,Shower,1,,Jennifer Aniston,,,,,,,,,Jason Bateman,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Horrible Bosses Script.html,2551,tt1499658,129,
2011,Machine Gun Preacher,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Machine Gun Preacher Script.html,2816,tt1586752,0,
2011,Midnight in Paris,,,,,,,,,,,,,,,,,,,,,,,,,,,http://indiegroundfilms.files.wordpress.com/2014/01/midnight-in-paris-numbered.pdf,9008,tt1605783,62,
2011,Red Riding Hood,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Red Riding Hood Script.html,3189,tt1486185,41,
2011,Win Win,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Win Win Script.html,3726,tt1606392,11,
2011,Margin Call,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Margin Call Script.html,2852,tt1615147,5,
2011,30 Minutes or Less,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/30 Minutes or Less Script.html,1530,tt1622547,40,
2011,Young Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,http://indiegroundfilms.files.wordpress.com/2014/01/young-adult-apr-10-10-5th.pdf,9241,tt1625346,17,
2011,Friends with Benefits,,,,Shower,1,,,,,,,,Mila Kunis,,,Justin Timberlake,,,,,,,Together,,,Shower sex scene,https://wikileaks.org/sony/docs/03_03/Mktrsch/Market%20Research/Scripts/Released/Friends%20with%20Benefits.pdf,6042,tt1632708,61,
2011,Hall Pass,,,,,,Jacuzzi,,,,,,,,,,,,,,Owen Wilson,,,,,,,http://www.imsdb.com/Movie Scripts/Hall Pass Script.html,2465,tt0480687,49,
2011,Super 8,,Bathtub,1,,,,,,,,Joel Courtney,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Super 8 Script.html,3468,tt1650062,139,
2011,My Week with Marilyn,C,Bathtub,1,,,,Michelle Williams,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/My Week with Marilyn Script.html,2975,tt1655420,16,
2011,Shame,,Bathtub,1,Shower,1,,Carey Mulligan,,,,,,,,,Michael Fassbender,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Shame Script.html,3313,tt1723811,4,
2011,Colombiana,,Bathtub,1,,,,Zoe Saldana,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Colombiana Script.html,2041,tt1657507,40,
2011,Cowboys & Aliens,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Cowboys & Aliens Script.html,2063,tt0409847,109,
2011,Take Shelter,,,,Shower,1,,,,,,,,,,,Michael Shannon,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Take Shelter Script.html,3494,tt1675192,1,
2011,I Melt with You,,Bathtub,1,,,,,,,,Rob Lowe,,,,,,,,,,,,,,,,http://www.simplyscripts.com/scripts/exclusive/AUGUST_2ndFINAL_DRAFT.pdf,4394,tt1691920,,
2012,Chronicle,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Chronicle Script.html,2003,tt1706593,70,
2012,Les Misérables,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Les Miserables Script.html,2754,tt1707386,162,
2012,The Perks of Being a Wallflower,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://www.imsdb.com/Movie Scripts/Perks of Being a Wallflower, The Script.html",3079,tt1659337,19,
2012,Amour,C,,,Shower,1,,,,,,,,Emmanuelle Riva,,,,,,,,,,,,,,http://gointothestory.blcklst.com/wp-content/uploads/2014/11/Amour.pdf,5373,tt1602620,,
2012,Lincoln,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Lincoln Script.html,2777,tt0443272,198,
2012,Snow White and the Huntsman,C,,,,,Milk bath,,,,,,,,,,,,,Charlize Theron,,,,,,,,http://www.imsdb.com/Movie Scripts/Snow White and the Huntsman Script.html,3378,tt1735898,169,
2012,Ted,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Ted Script.html,3509,tt1637725,239,
2012,Silver Linings Playbook,,,,,,,,,,,,,,,,,,,,,,,,,,,https://imsdb.com/scripts/Silver-Linings-Playbook.html,,,,
2012,Moonrise Kingdom,,Bathtub,1,,,,Kara Hayward,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Moonrise Kingdom Script.html,2947,tt1748122,49,
2012,Argo,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Argo Script.html,1691,tt1024648,148,
2012,Arbitrage,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Arbitrage Script.html,1684,tt1764183,8,
2012,Anna Karenina,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Anna Karenina Script.html,1659,tt1781769,13,
2012,Zero Dark Thirty,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Zero Dark Thirty Script.html,3766,tt1790885,104,
2012,The Master,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://www.imsdb.com/Movie Scripts/Master, The Script.html",2866,tt1560747,17,
2012,Men in Black 3,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Men in Black 3 Script.html,2894,tt1409024,195,
2012,The Place Beyond the Pines,,,,Shower,1,,,,,,,,,,,Emory Cohen,,,,,,,,,,,http://focusguilds2013.com/workspace/media/tpbtp-final-script-9-26-2011.pdf,4787,tt1817273,23,
2012,Celeste & Jesse Forever,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Celeste & Jesse Forever Script.html,1975,tt1405365,3,
2012,Flight,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Flight Script.html,2303,tt1907668,102,
2012,Rust and Bone,,Bathtub,1,,,,Marion Cotillard,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Rust and Bone Script.html,3254,tt2053425,2,
2012,Hate Crime,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.horrorlair.com/movies/Hate_Crime_script.html,4341,tt2257436,,
2012,Looper,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Looper Script.html,2797,tt1276104,72,
2012,The Dark Knight Rises,,,,,,,,,,,,,,,,,,,,,,,,,,,http://indiegroundfilms.files.wordpress.com/2014/01/dark-knight-rises-the.pdf,8807,tt1345836,489,
2012,Life of Pi,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Life of Pi Script.html,2769,tt0454876,136,
2012,Cloud Atlas,,,,,,,,,,,,,,,,,,,,,,,,,,,http://indiegroundfilms.files.wordpress.com/2014/01/cloud-atlas.pdf,8786,tt1371111,29,
2012,The Avengers,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://www.imsdb.com/Movie Scripts/Avengers, The (2012) Script.html",1723,tt0848228,680,
2012,Prometheus,,,,,,,,,,,,,,,,,,,,,,,,,,,https://imsdb.com/scripts/Prometheus.html,,,,
2013,Saving Mr. Banks,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Saving Mr. Banks Script.html,3265,tt2140373,89,
2013,American Hustle,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/American Hustle Script.html,1628,tt1800241,160,
2013,Fruitvale Station,,,,Shower,2,,,,,,,,Melonie Diaz,Ariana Neal,,Michael B. Jordan,,,,,,,Together,M,,,http://www.imsdb.com/Movie Scripts/Fruitvale Station Script.html,2346,tt2334649,17,
2013,Before Midnight,,,,,,,,,,,,,,,,,,,,,,,,,,,http://gointothestory.blcklst.com/wp-content/uploads/2014/11/Before-Midnight.pdf,5381,tt2209418,8,
2013,Nebraska,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.paramountguilds.com/pdf/nebraska_screenplay.pdf,4686,tt1821549,18,
2013,12 Years a Slave,,,,,,,,,,,,,,,,,,,,,,,,,,,https://imsdb.com/scripts/12-Years-a-Slave.html,,,,
2013,Captain Phillips,,,,Shower,1,,,,,,,,,,,Tom Hanks,,,,,,,,,,,https://wikileaks.org/sony/docs/03_03/Mktrsch/Market%20Research/Scripts/Released/Captain%20Phillips%20%2820120315%29.pdf,6040,tt1535109,114,
2013,Gravity,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Gravity Script.html,2445,tt1454468,293,
2013,The Wolf of Wall Street,,,,Shower,1,,,,,,,,,,,Leonardo DiCaprio,,,,,,,,,,,"http://www.imsdb.com/Movie Scripts/Wolf of Wall Street, The Script.html",3737,tt0993846,125,
2013,Blue Jasmine,C,Bathtub,1,Shower,1,,Cate Blanchett,,,,,,Cate Blanchett,,,,,,,,,,,,,,Blue Jasmine.pdf,8479,tt2334873,35,
2013,2 Guns,,,,,,,,,,,,,,,,,,,,,,,,,,,https://wikileaks.org/sony/docs/03_03/Mktrsch/Market%20Research/Scripts/Released/2%20Guns%20%2820090915%29.pdf,6030,tt1272878,80,
2013,Only God Forgives,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Only God Forgives Script.html,3040,tt1602613,0,
2013,Romeo & Juliet,C,Bathtub,1,,,,Hailee Steinfeld,,,,,,,,,,,,,,,,,,,,film_20100519/all_imsdb_05_19_10/Romeo-&-Juliet.html,1286,tt1645131,1,
2013,Kill Your Darlings,,,,Shower,1,,,,,,,,,,,Daniel Radcliffe,,,,,,,,,,,http://www.dailyscript.com/scripts/Kill_Your_Darlings.pdf,4477,tt1311071,1,
2013,Battle of the Year,,,,,,,,,,,,,,,,,,,,,,,,,,,https://wikileaks.org/sony/docs/03_03/Mktrsch/Market%20Research/Scripts/Released/Planet%20B-Boy%20%28Oct%202011%29.pdf,6053,tt1532958,9,
2013,Oblivion,,,,Shower,1,,,,,,,,,,,Tom Cruise,,,,,,,,,,,http://www.imsdb.com/Movie Scripts/Oblivion Script.html,3026,tt1483013,95,
2013,Her,,,,Shower,1,,,,,,,,,,,Joaquin Phoenix,,,,,,,,,,,https://dl.dropboxusercontent.com/s/t711fe3u47rgkr1/HER%20%282013%29%20Spilke%20Jonze%20-Final-.pdf,4352,tt1798709,27,
2013,White House Down,,,,,,,,,,,,,,,,,,,,,,,,,,,https://wikileaks.org/sony/docs/03_03/Mktrsch/Market%20Research/Scripts/Released/White%20House%20Down%202.11.12.pdf,6066,tt2334879,78,
